-0.00054,0,0.06
-0.000538,0,0.06
-0.000536,0,0.06
-0.000534,0,0.06
-0.000532,0,0.06
-0.00053,0,0.06
-0.000528,0,0.12
-0.000526,-0.06,0.06
-0.000524,-0.06,0.06
-0.000522,-0.06,0.06
-0.00052,-0.06,0.06
-0.000518,0,0
-0.000516,0,0
-0.000514,0,0.06
-0.000512,0,0
-0.00051,0,0
-0.000508,0,0
-0.000506,0,0.06
-0.000504,0,0
-0.000502,0,0.06
-0.0005,-0.06,0.06
-0.000498,-0.06,0.06
-0.000496,0,0
-0.000494,-0.06,0
-0.000492,-0.06,0
-0.00049,0,0.06
-0.000488,0,0.06
-0.000486,-0.06,0.06
-0.000484,-0.06,0.06
-0.000482,-0.06,0.12
-0.00048,-0.06,0.06
-0.000478,-0.06,0.12
-0.000476,0,0.06
-0.000474,0,0.06
-0.000472,0,0.06
-0.00047,0,-0.06
-0.000468,0,0
-0.000466,0,0
-0.000464,0,0.06
-0.000462,0,0.06
-0.00046,-0.06,0.06
-0.000458,-0.06,0.06
-0.000456,-0.06,0.06
-0.000454,-0.06,0.06
-0.000452,0,0.06
-0.00045,0,0
-0.000448,0,0
-0.000446,0.06,0
-0.000444,0.06,0
-0.000442,0.06,0
-0.00044,0.06,0
-0.000438,0,0.06
-0.000436,0,0.06
-0.000434,0,0.06
-0.000432,0.06,0.06
-0.00043,0.06,0.06
-0.000428,0,0.06
-0.000426,0,0.12
-0.000424,0,0.06
-0.000422,-0.06,0.12
-0.00042,0,0.06
-0.000418,0,0.06
-0.000416,0,0.06
-0.000414,0,0.06
-0.000412,0,0.12
-0.00041,0.06,0.12
-0.000408,0,0.12
-0.000406,0,0.06
-0.000404,0,0.06
-0.000402,-0.06,0.12
-0.0004,0,0.06
-0.000398,0,0.06
-0.000396,0,0.06
-0.000394,0,0
-0.000392,0,0
-0.00039,0,0
-0.000388,0,0
-0.000386,0,0.06
-0.000384,0,0.06
-0.000382,0,0.06
-0.00038,0,0.12
-0.000378,-0.06,0
-0.000376,-0.12,0.06
-0.000374,0,0.06
-0.000372,-0.06,0.06
-0.00037,0,0.06
-0.000368,0,0.06
-0.000366,0,0.06
-0.000364,0,0.06
-0.000362,0,0.06
-0.00036,0,0.06
-0.000358,0,0.12
-0.000356,0.06,0.12
-0.000354,0,0.12
-0.000352,0,0.12
-0.00035,-0.06,0.06
-0.000348,0,0.06
-0.000346,0,0.06
-0.000344,0,0.06
-0.000342,0,0.06
-0.00034,0,0.06
-0.000338,0,0.06
-0.000336,0,0.06
-0.000334,0,0.06
-0.000332,0.06,0.06
-0.00033,0,0.12
-0.000328,0,0.06
-0.000326,0.06,0.12
-0.000324,0.06,0.06
-0.000322,0,0.06
-0.00032,0,0
-0.000318,0,0
-0.000316,0,0
-0.000314,0,0
-0.000312,0,0
-0.00031,0.06,0
-0.000308,0,0.06
-0.000306,0,0.06
-0.000304,0.06,0.06
-0.000302,0.06,0.06
-0.0003,0.06,0.06
-0.000298,0.06,0.06
-0.000296,0.06,0.06
-0.000294,0,0.06
-0.000292,0,0
-0.00029,0,0
-0.000288,0,0
-0.000286,0,0.06
-0.000284,0,0
-0.000282,0,0
-0.00028,0,0.06
-0.000278,0,0.06
-0.000276,0,0.06
-0.000274,0,0
-0.000272,0,0
-0.00027,0,0.06
-0.000268,0,0.06
-0.000266,0,0.06
-0.000264,0.06,0.06
-0.000262,0,0.06
-0.00026,0,0.06
-0.000258,0,0.06
